LocusID;Zygote;Quadrant;Globular;Heart;Torpedo;Bent;Mature
AT1G01040;2173.635205;1911.200145;1152.555283;1291.422445;1000.252931;962.977223;1696.427421
AT1G01370;912.5740008;990.5189126;1259.183821;1048.094647;993.6671193;1138.128863;926.2480179
AT1G02560;9915.821602;9965.720668;19602.78698;22256.09701;27314.34139;19444.0844;13198.59967
AT1G02780;53775.96412;55938.54981;69276.83301;62158.09189;59432.62252;56060.60532;32089.44976
AT1G03360;968.5535876;913.1487822;982.6492066;982.790233;983.8860474;1102.040413;905.0096569
AT1G04635;926.3365319;915.5031834;847.6510583;910.2991847;1026.14302;896.2905642;796.5135461
AT1G04950;1722.874272;1367.539191;1516.539345;1383.014513;1450.74992;1521.743138;2016.080616
AT1G05190;1049.943727;1106.150532;2663.459789;2737.268722;2529.865009;2621.531288;887.7944682
AT1G05600;909.3363752;831.1256007;1045.96581;1064.322278;900.4165925;879.6768205;853.0332038
AT1G06950;948.743133;788.7013641;955.4672873;918.4596129;922.1053755;1074.600143;958.0709548
AT1G07320;4594.618425;3043.827726;5266.828056;9029.323503;9889.050465;10257.55427;2883.491882
AT1G08130;7459.932893;6308.575932;15178.40373;10704.6695;4977.717656;4070.559144;2635.339
AT1G08260;650.9285564;631.0328922;657.2376426;657.2826268;617.6437662;588.6937572;605.9070061
AT1G08510;6453.306365;4024.621217;4730.440848;3937.778149;4371.692086;4931.305178;3408.262815
AT1G08560;922.582653;1057.463269;1641.074312;1762.34;1823.041562;2142.414573;925.8936877
AT1G08840;1541.45992;1684.310127;2028.650358;2184.963909;2045.73141;1325.696195;1058.990697
AT1G09770;2435.066425;2415.689472;1681.165174;1845.533505;1344.608311;1611.157883;2440.902862
AT1G10270;779.2733684;750.6022976;1003.41422;1140.173609;1001.891777;844.4425669;980.5785052
AT1G10510;2308.788083;2639.317469;1820.983911;2451.75383;3376.544611;2250.836279;1331.975317
AT1G10910;847.5507657;876.1897762;982.5678464;871.6084817;899.9824662;957.769127;917.2424355
AT1G11680;5421.730725;5070.270874;2776.940563;4119.962553;9911.813469;2318.931386;2135.658803
AT1G12260;897.8881842;1008.647321;1101.723415;1161.003266;1066.24603;984.0915664;914.1062908
AT1G12360;785.4942408;749.4567561;796.1312908;893.2247459;851.1274774;864.6594482;785.2181479
AT1G12410;1443.910754;1160.509594;1985.085796;1828.761464;1796.757872;1878.498072;2145.704203
AT1G12770;1115.361452;828.2539419;910.7205835;955.6583656;1037.518031;1064.351655;2312.834943
AT1G13980;776.343425;760.3130776;764.9517289;767.3365018;758.205686;744.085894;697.059976
AT1G14610;1441.393626;1334.266666;2091.579476;1884.325201;1284.546989;1195.771916;1249.235558
AT1G15220;1259.280567;1339.144576;1152.341994;1137.690042;1020.199747;930.0301451;1008.029365
AT1G17220;928.8747393;890.2730966;1101.204452;1042.961466;1006.383311;1063.960965;895.5353102
AT1G18450;870.8224311;862.9083537;1088.279482;1053.313281;1015.448375;1003.469813;914.8621416
AT1G19080;984.1335916;1074.402919;1544.43391;1524.706636;1480.078066;1174.283328;995.2032414
AT1G19800;9824.973225;9828.187119;7335.889694;6647.847561;6719.418191;5248.210585;4105.484686
